Time,Precision,Recall,Dataset,F1
1,0.5894308943089431,1.0,california,0.30344827586206896
2,0.7288092904098077,0.9763948497854076,california,0.6232876712328768
3,0.7974050832129818,0.9883211678832116,california,0.7427317608337904
4,0.4939022988505747,0.0,california,0.0
5,0.927953734551406,0.9063604240282686,california,0.8810648346930012
6,0.8775081694156839,0.9214285714285714,california,0.8305835010060363
7,0.9176457987594028,0.9088983050847458,california,0.8713608666215302
8,0.9412362102813824,0.9207317073170732,california,0.9018290406868236
9,0.8727943019976679,0.9705414012738852,california,0.8435986159169551
10,0.9573491669759496,0.9237726098191216,california,0.919909938887102
11,0.9481855607435388,0.9113300492610836,california,0.904645476772616
12,0.9686853255360052,0.8570669500531349,california,0.8968584931887685
1,0.7142715222389373,0.8571428571428571,county,0.5714285714285714
2,0.7919218361401265,0.8690476190476191,county,0.6985645933014353
3,0.804712178257678,0.9014084507042254,county,0.7272727272727273
4,0.7648580116595233,0.9302325581395348,county,0.6751054852320676
5,0.7999431535564556,0.9036144578313252,county,0.7211538461538461
6,0.9252092346508876,0.8705882352941177,county,0.8604651162790696
7,0.6145762304552471,0.9565217391304348,county,0.36974789915966383
8,0.6073825503355704,1.0,county,0.3535911602209945
9,0.5629139072847682,1.0,county,0.2235294117647059
10,0.5981012658227848,1.0,county,0.32804232804232797
11,0.5794117647058823,1.0,county,0.27411167512690354
12,0.5445063320916856,0.8666666666666667,county,0.16149068322981364
1,0.7348413849961618,0.96875,kincade,0.6326530612244898
2,0.6448527090959332,0.96875,kincade,0.44604316546762585
3,0.6118881118881119,1.0,kincade,0.3657142857142857
4,0.6302521008403361,1.0,kincade,0.4133333333333334
5,0.6375,1.0,kincade,0.4313725490196079
6,0.651685393258427,1.0,kincade,0.4655172413793103
7,0.8210938132411414,0.9859154929577464,kincade,0.7777777777777777
8,0.8932473215286058,0.8492063492063492,kincade,0.8167938931297709
9,0.8882397113733088,0.9720279720279721,kincade,0.8633540372670808
10,0.7364864864864865,1.0,kincade,0.6422018348623852
11,0.657608695652174,1.0,kincade,0.4793388429752066
12,0.7332552748604408,0.56,kincade,0.509090909090909
1,0.7438392758106459,0.9523809523809524,woolsey,0.6451612903225806
2,0.5056805948430111,0.018518518518518517,woolsey,0.016393442622950817
3,0.8536253197241273,0.8679245283018868,woolsey,0.7796610169491526
4,0.921371285102632,0.627906976744186,woolsey,0.72
5,0.6249684860708433,0.9230769230769232,woolsey,0.3934426229508197
6,0.7385103396918142,0.84,woolsey,0.6086956521739131
7,0.8217185403738327,0.7916666666666666,woolsey,0.7102803738317757
8,0.7980401373999821,0.7708333333333334,woolsey,0.6727272727272728
9,0.8118811881188119,1.0,woolsey,0.7682926829268292
10,0.8849367648918679,0.9746835443037974,woolsey,0.8603351955307262
11,0.8270474338803844,0.946808510638298,woolsey,0.773913043478261
12,0.8154045257845409,0.9894736842105264,woolsey,0.7704918032786885
